"","Player","Tm","year"
"456","Josh Okogie","MIN","2022"
"457","Malik Beasley","MIN","2022"
"458","Jarrett Culver","MIN","2022"
"459","Juan Hernangómez","MIN","2022"
"460","D'Angelo Russell","MIN","2022"
"461","Jaden McDaniels","MIN","2022"
"462","Jake Layman","MIN","2022"
"463","Anthony Edwards","MIN","2022"
"464","Ricky Rubio","MIN","2022"
"465","Mike Muscala","OKC","2022"
"466","Derrick Favors","OKC","2022"
"467","Shai Gilgeous-Alexander","OKC","2022"
"468","Jeremiah Robinson-Earl","OKC","2022"
"469","Aleksej Pokusevski","OKC","2022"
"470","Darius Bazley","OKC","2022"
"471","Aaron Wiggins  (TW)","OKC","2022"
"472","Théo Maledon","OKC","2022"
"473","Ty Jerome","OKC","2022"
"474","Josh Hall  (TW)","OKC","2022"
"475","Gabriel Deck","OKC","2022"
"476","Isaiah Roby","OKC","2022"
"477","Tre Mann","OKC","2022"
"478","Luguentz Dort","OKC","2022"
"479","Josh Giddey","OKC","2022"
"480","Kenrich Williams","OKC","2022"
"481","Josh Christopher","HOU","2022"
"482","Jae'Sean Tate","HOU","2022"
"483","John Wall","HOU","2022"
"484","Alperen Şengün","HOU","2022"
"485","D.J. Augustin","HOU","2022"
"486","Eric Gordon","HOU","2022"
"487","David Nwaba","HOU","2022"
"488","Kenyon Martin Jr.","HOU","2022"
"489","Kevin Porter Jr.","HOU","2022"
"490","Matthew Hurt  (TW)","HOU","2022"
"491","Khyri Thomas","HOU","2022"
"492","Danuel House","HOU","2022"
"493","Usman Garuba","HOU","2022"
"494","Jalen Green","HOU","2022"
"495","Avery Bradley","HOU","2022"
"496","Daniel Theis","HOU","2022"
"497","Christian Wood","HOU","2022"
